sc,model,coef,true,meanest,bias,empse,mse,modse,seerr,cover,becover
43,glm,1,1,0.992252636700522,-0.00774736329947767,0.134274289710681,0.0180878035569144,0.133476431670449,-0.594200156971181,0.953490698139628,0.953490698139628
43,glm,2,0.999999999986112,0.986829190232524,-0.0131708097535883,0.150255592564315,0.022747955652109,0.148927350036332,-0.883988745653164,0.953290658131626,0.947189437887577
43,glm,3,0.5,0.485900139743336,-0.0140998602566645,0.15977833633688,0.0257253699101623,0.157886012943243,-1.18434290719334,0.948389677935587,0.950690138027605
43,glm,4,1.3888001859641e-11,-0.063209256640948,-0.063209256654836,0.44404526003244,0.201151885464839,22.2929147781134,4920.41498573472,0.957091418283657,0.938387677535507
43,glm,5,0,-0.0201975727060534,-0.0201975727060534,0.192638278623634,0.0375137373836542,0.192725770696908,0.0454178026814356,0.944588917783557,0.95749149829966
44,cirls,1,1,0.616499034342546,-0.383500965657454,0.0327005443869737,0.148142209330844,0.0339056561487547,3.68529571715959,0,0.3855
44,cirls,2,0.999999999986112,0.616499034342546,-0.383500965643566,0.0327005443869737,0.148142209320192,0.0331978529342996,1.5207959275565,0,0.2554
44,cirls,3,0.5,0.616499034342546,0.116499034342546,0.0327005443869737,0.0146412436733898,0.0333072686838092,1.85539509573776,1e-04,0.2079
44,cirls,4,1.3888001859641e-11,0.616499034342546,0.616499034328658,0.0327005443869737,0.381140277998812,0.0337920601354649,3.33791308051119,0,0.1569
44,cirls,5,0,0.616499034342546,0.616499034342546,0.0327005443869737,0.381140278015936,0.0362165752861325,10.7522090689089,0,0.0896
44,glm,1,1,0.998578281666227,-0.0014217183337728,0.0584516085150583,0.00341827016196442,0.0587274834645791,0.471971527438364,0.9466,0.951
44,glm,2,0.999999999986112,0.998702994299479,-0.00129700568663338,0.0601398104078169,0.00361811733995973,0.0604459346053133,0.509020888859602,0.9524,0.9524
44,glm,3,0.5,0.496338820118389,-0.00366117988161069,0.0755176637085275,0.00571575147836656,0.0755354229039248,0.0235166112472651,0.9513,0.9516
44,glm,4,1.3888001859641e-11,-0.0068466234117759,-0.0068466234256639,0.104104308546375,0.0108834995395459,0.103777950354871,-0.313491531773313,0.9508,0.9434
44,glm,5,0,-0.00600920749292108,-0.00600920749292108,0.105424186832197,0.011149258318006,0.105438070261282,0.013169111854161,0.9514,0.945
45,cirls,1,0.9,0.481316810714898,-0.418683189285102,0.0788605015056455,0.181513969789796,0.0896065186498801,13.6266152751581,0.0017,0.9271
45,cirls,2,0.899999999987501,0.481501097296,-0.418498902691501,0.0786243473533483,0.18132250137193,0.0826474002382078,5.11680289920804,0.0079,0.843
45,cirls,3,0.45,0.481501097296,0.0315010972960003,0.0786243473533483,0.00717348894879237,0.0824313582504929,4.84202543524519,0.623,0.7556
45,cirls,4,1.24992238781374e-11,0.481501097296,0.481501097283501,0.0786243473533483,0.238024476503156,0.0858993636034388,9.25287966766271,0,0.6269
45,cirls,5,0,0.481837144799824,0.481837144799824,0.0786143855101728,0.238346637695828,0.107965457125438,37.3354970910093,0,0.3811
45,glm,1,0.9,0.890058541354615,-0.00994145864538509,0.148560897172941,0.0221669657348101,0.147836899256395,-0.487340834851779,0.9512,0.9512
45,glm,2,0.899999999987501,0.885429347421611,-0.0145706525658904,0.173403969047501,0.0302782335039743,0.172980921111132,-0.243966697355891,0.9503,0.94
45,glm,3,0.45,0.436599900494552,-0.0134000995054481,0.161350646980154,0.0262109905445421,0.16184577009869,0.306861563806726,0.9528,0.9451
45,glm,4,1.24992238781374e-11,-0.021842231883217,-0.0218422318957162,0.204260616731743,0.0421953104018633,0.204373802518677,0.0554124376717535,0.956,0.9455
45,glm,5,0,-0.0319622160832701,-0.0319622160832701,0.256487847077081,0.06680102035362,0.250745736440351,-2.23874569581649,0.9476,0.9476
46,cirls,1,0.9,0.527780232167196,-0.372219767832804,0.0345646137523132,0.1397421486181,0.035833465630862,3.67095633598358,0,0.5866
46,cirls,2,0.899999999987501,0.527780232167196,-0.372219767820304,0.0345646137523132,0.139742148608796,0.0347863692020405,0.641567851203062,0,0.4265
46,cirls,3,0.45,0.527780232167196,0.0777802321671965,0.0345646137523132,0.00724435756857719,0.0348774198634622,0.904989459423877,0.0086,0.3572
46,cirls,4,1.24992238781374e-11,0.527780232167196,0.527780232154697,0.0345646137523132,0.27974656650586,0.0353508413218737,2.27466036564035,0,0.2865
46,cirls,5,0,0.527780232167196,0.527780232167196,0.0345646137523132,0.279746566519054,0.0383780996928342,11.0329192967354,0,0.1801
46,glm,1,0.9,0.896718525207358,-0.00328147479264251,0.0644840705987196,0.00416854761825931,0.0639341650590699,-0.852777336393273,0.9514,0.948
46,glm,2,0.899999999987501,0.898013432406925,-0.00198656758057636,0.0636549224548144,0.00405549040856536,0.0642130068724045,0.876734109583155,0.9506,0.9506
46,glm,3,0.45,0.447224625194614,-0.00277537480538648,0.0788147327828953,0.00621884363273919,0.0792982238360604,0.613452632640388,0.9522,0.948
46,glm,4,1.24992238781374e-11,-0.00429793840060323,-0.00429793841310245,0.0963113768703192,0.00929342600112801,0.0962125845094518,-0.102576003041099,0.9487,0.9491
46,glm,5,0,-0.00728622466052178,-0.00728622466052178,0.107972575391695,0.0117100002988153,0.106104536831643,-1.73010466155471,0.9436,0.9444
47,cirls,1,0.8,0.383162503464951,-0.416837496535049,0.0832842773968738,0.180689075752041,0.0999748392647369,20.0404714905885,0.0013,0.9402
47,cirls,2,0.79999999998889,0.384065759675627,-0.415934240313262,0.0825312507764743,0.179812018478965,0.0881116621242064,6.7615737011498,0.0074,0.8934
47,cirls,3,0.4,0.384065759675627,-0.0159342403243727,0.0825312507764743,0.00706462622870868,0.0871395186516231,5.58366416574709,0.8605,0.8161
47,cirls,4,1.11104458966338e-11,0.384065759675627,0.384065759664517,0.0825312507764743,0.154317233960676,0.0896661197679516,8.64505132825526,3e-04,0.7063
47,cirls,5,0,0.384608204536542,0.384608204536542,0.0824660316753165,0.154723437312459,0.102085512563955,23.7909845909452,1e-04,0.5009
47,glm,1,0.8,0.781202463078116,-0.0187975369218842,0.170969730827635,0.0295810731887175,0.170428954486757,-0.316299463220993,0.9471,0.9471
47,glm,2,0.79999999998889,0.782759017091058,-0.0172409828978322,0.184490854295683,0.0343307231225024,0.182280601790267,-1.19802822413824,0.9535,0.9535
47,glm,3,0.4,0.383906897175067,-0.0160931028249329,0.178851161177702,0.0322435270393607,0.177408917495436,-0.806393244957648,0.947,0.9582
47,glm,4,1.11104458966338e-11,-0.0241699535971011,-0.0241699536082115,0.21626149252585,0.0473485429036162,0.213613366799876,-1.22450173400919,0.9503,0.954
47,glm,5,0,-0.021891132311705,-0.021891132311705,0.204477978042794,0.0422862840540077,0.204380320745348,-0.0477593227308115,0.9579,0.9474
48,cirls,1,0.8,0.455069725790181,-0.344930274209819,0.0358452512339768,0.120261647614284,0.0374963546951244,4.60619860179035,0,0.7607
48,cirls,2,0.79999999998889,0.455069725790181,-0.344930274198709,0.0358452512339768,0.12026164760662,0.0361966678961143,0.98037159746398,0,0.6087
48,cirls,3,0.4,0.455069725790181,0.0550697257901811,0.0358452512339768,0.00431742824642905,0.0362733544755608,1.19430950222552,0.0928,0.5345
48,cirls,4,1.11104458966338e-11,0.455069725790181,0.455069725779071,0.0358452512339768,0.208373208868462,0.0367951994939703,2.65013698409537,0,0.4473
48,cirls,5,0,0.455069725790181,0.455069725790181,0.0358452512339768,0.208373208878574,0.0394478496492714,10.0504203242405,0,0.3151
48,glm,1,0.8,0.797325838797766,-0.00267416120223396,0.0671569489061282,0.00451675591893722,0.066864228391083,-0.435875244205042,0.9467,0.951
48,glm,2,0.79999999998889,0.798561752683847,-0.00143824730504283,0.0696233830446163,0.00484899928034117,0.0692721220760063,-0.504515800941319,0.9491,0.9441
48,glm,3,0.4,0.395961501565039,-0.00403849843496151,0.0829271065376845,0.00689252677782179,0.0817725017880583,-1.3923128369389,0.9475,0.9475
48,glm,4,1.11104458966338e-11,-0.00516773558833949,-0.00516773559944993,0.100700025168418,0.0101661865106389,0.101020869500313,0.318613954027369,0.9514,0.9512
48,glm,5,0,-0.00498592808720144,-0.00498592808720144,0.0992388280784421,0.00987221964277349,0.098075978853584,-1.17176839688085,0.9465,0.9465
49,cirls,1,0.7,0.396290713349926,-0.303709286650074,0.0843068495379675,0.0993462649120265,0.10341814608775,22.6687352860642,0.0328,0.9359
49,cirls,2,0.699999999990278,0.399413039610949,-0.300586960379329,0.0815220387993965,0.0969976989758139,0.0872184943625909,6.98762647142794,0.1294,0.9101
49,cirls,3,0.35,0.399413039610949,0.049413039610949,0.0815220387993965,0.00908682670932252,0.087871242812025,7.78832829273592,0.6709,0.8414
49,cirls,4,9.72155689282772e-12,0.39943135810538,0.399431358095658,0.0814895555105282,0.16618529343268,0.0921984306755884,13.1414082430192,1e-04,0.727
49,cirls,5,0,0.400517713951511,0.400517713951511,0.0818105064952255,0.167106728866053,0.111808484877372,36.6676355730633,0,0.4688
49,glm,1,0.7,0.685405581150525,-0.0145944188494752,0.168246105094425,0.0285169182658103,0.168525615709022,0.16613199719524,0.9456,0.9576
49,glm,2,0.699999999990278,0.690312302110159,-0.00968769788011892,0.150169692153464,0.0226425328380384,0.148499162019841,-1.11242828673828,0.9523,0.9432
49,glm,3,0.35,0.330522118163727,-0.0194778818362729,0.196807715416335,0.03910879140054,0.196418109921436,-0.197962510806093,0.9471,0.9471
49,glm,4,9.72155689282772e-12,-0.0269171935931432,-0.0269171936028648,0.227554055947452,0.0525002056047525,0.224165969031513,-1.48891519504338,0.9523,0.9382
