sc,model,df,true,mean,bias,se,mse
52,cirls,e,0.999560720247091,2.06576162,1.06620089975291,0.383010955765236,1.28346708113089
52,glm,o,5.03167313915551,5,-0.0316731391555134,0,0.00100318774396452
52,glm,e,5.03167313915551,NA,NA,NA,NA
53,cirls,o,1.10027143515473,1.1118,0.0115285648452663,0.338691941479455,0.114833667807392
53,cirls,e,1.10027143515473,2.56809773,1.46782629484527,0.302119625556934,2.24578117235903
53,glm,o,5.10646110669045,5,-0.106461106690452,0,0.0113339672377557
53,glm,e,5.10646110669045,NA,NA,NA,NA
54,cirls,o,1.02951256920859,1.0035,-0.0260125692085875,0.0590601287662073,0.00416440375683156
54,cirls,e,1.02951256920859,2.14789538,1.11838281079141,0.372242466835888,1.38933070914436
54,glm,o,5.03895809744547,5,-0.0389580974454713,0,0.00151773335657084
54,glm,e,5.03895809744547,NA,NA,NA,NA
55,cirls,o,1.30000540949255,1.2567,-0.043305409492548,0.501826955263767,0.253680468491317
55,cirls,e,1.30000540949255,2.6354282,1.33542279050745,0.307584831722292,1.87795299726947
55,glm,o,5.16325488188698,5,-0.163254881886979,0,0.0266521564599314
55,glm,e,5.16325488188698,NA,NA,NA,NA
56,cirls,o,1.013520639169,1.015,0.00147936083100086,0.121558535890182,0.0147771885084683
56,cirls,e,1.013520639169,2.26500537,1.251484730831,0.351561101043531,1.68979687974931
56,glm,o,5.0431568467942,5,-0.043156846794199,0,0.00186251342521796
56,glm,e,5.0431568467942,NA,NA,NA,NA
57,cirls,o,1.44539858078041,1.4373,-0.00809858078040882,0.638521323800619,0.407734297010657
57,cirls,e,1.44539858078041,2.72360794,1.27820935921959,0.292636548588712,1.71944675195151
57,glm,o,5.09355317296015,5,-0.0935531729601546,0,0.00875219617091261
57,glm,e,5.09355317296015,NA,NA,NA,NA
58,cirls,o,1.06795043334233,1.0639,-0.00405043334232968,0.254211038952349,0.0646331960102606
58,cirls,e,1.06795043334233,2.42633815,1.35838771665767,0.334754123771337,1.95726630611602
58,glm,o,5.02973562428936,5,-0.0297356242893638,0,0.000884207351878204
58,glm,e,5.02973562428936,NA,NA,NA,NA
59,cirls,o,1.71842834622389,1.7266,0.00817165377611029,0.781353627590693,0.610519215925437
59,cirls,e,1.71842834622389,2.81266141,1.09423306377611,0.317206577313714,1.29795594855067
59,glm,o,5.12034046285604,5,-0.120340462856044,0,0.0144818270004069
59,glm,e,5.12034046285604,NA,NA,NA,NA
60,cirls,o,1.28708843184374,1.2666,-0.0204884318437391,0.507494034466911,0.257944215839416
60,cirls,e,1.28708843184374,2.59078137,1.30369293815626,0.319247948853564,1.80152433792043
60,glm,o,5.08976650653138,5,-0.0897665065313777,0,0.00805802569484788
60,glm,e,5.08976650653138,NA,NA,NA,NA
61,cirls,o,1.91731928102406,1.947,0.0296807189759369,0.863750893811784,0.746871945078929
61,cirls,e,1.91731928102406,2.91560403,0.998284748975937,0.279653491632587,1.07477069481271
61,glm,o,5.08259968849188,5,-0.082599688491876,0,0.00682270853895496
61,glm,e,5.08259968849188,NA,NA,NA,NA
62,cirls,o,1.64046130849488,1.6436,0.0031386915051177,0.746213591053089,0.556788891384364
62,cirls,e,1.64046130849488,2.8036998,1.16323849150512,0.312221201259318,1.45059611842706
62,glm,o,5.00393709437103,5,-0.00393709437102885,0,1.5500712086387e-05
62,glm,e,5.00393709437103,NA,NA,NA,NA
63,cirls,o,2.29645170115774,2.2616,-0.0348517011577365,0.901912847606945,0.814580081073588
